H3K4me3 WT nuclear genes	cdkc2 nuclear genes	WT ATXR3-marked	cdkc2 ATXR3-marked	WT ATXR3-bound	cdkc2 ATXR3-bound
4.73413798923703	4.71546496839204	11.4794590517343	11.0465490185941	9.74162313800104	9.40874696688679
4.46491694639125	4.45249376348703	11.1624552194468	10.7619258667173	9.42108734363209	9.12011590475695
4.19789202812768	4.19497382945953	10.8215633817064	10.4620441095893	9.09251893246337	8.81274879500144
3.93891817587585	3.94040218241352	10.4533756739737	10.0971002335766	8.76306209973675	8.47050506152247
3.69551295957484	3.70029125792333	10.0745575797401	9.74891513727992	8.42770898575634	8.13989857170333
3.46948607034324	3.47206413895542	9.70735958554671	9.36675448424868	8.10325233562711	7.82023296574288
3.25683550404368	3.25782825524313	9.35100364480596	8.99984983993829	7.78587053340596	7.5076141331332
3.0586732135088	3.0602363113985	8.99228855224416	8.64337098575977	7.49033050317297	7.21755524122329
2.8759177885334	2.8752712393773	8.6178198181882	8.27575597284365	7.18894582815142	6.9200522552755
2.71011910817324	2.71227259551192	8.26268871171873	7.93344639643586	6.90611050597028	6.65796157558404
2.55676958971175	2.55689192145549	7.93734260189169	7.6043465054986	6.63179578227955	6.38522907378171
2.41395046082917	2.41943855736228	7.58283367171871	7.28641660969759	6.35148663317868	6.12968680740601
2.28577150459086	2.2935060331043	7.24827790586882	6.98377133091398	6.09494921013162	5.89705355356376
2.16973927948359	2.17825255259901	6.92770756794834	6.68226550969327	5.84837502161932	5.64798457017971
2.06479503887588	2.07243844612709	6.62911018669138	6.38052399925763	5.61313954761992	5.4082237466844
1.97116173168933	1.97910047611539	6.35517923772779	6.11467261823498	5.40187777259808	5.19794621789302
1.88251231146818	1.89337052464546	6.09282500014184	5.84873647610393	5.18783496832117	4.98774193661769
1.8039096653937	1.81220671324611	5.84086935481084	5.60108324190659	4.99109956113452	4.79509212773879
1.73382923431347	1.74013677820938	5.60130728731295	5.38701990086437	4.8120924185401	4.62968102233043
1.66768133050724	1.6743704866889	5.37826073525618	5.18159337906758	4.63065212252412	4.45455644947927
1.60425544376142	1.61200662612038	5.15456603434887	4.97860487052604	4.45305008636028	4.29558550952536
1.5482931330249	1.55480586752315	4.95085334244048	4.78666608095002	4.29328715746468	4.13548827822915
1.4974278255575	1.50204394961002	4.76311208310237	4.60187334763739	4.15356831761862	3.98531003070899
1.44796328423789	1.45309126432383	4.57678774295657	4.41690662250338	3.99970868142064	3.8408282263626
1.40478485267964	1.4083327980256	4.4060352499001	4.25006147091875	3.8693919517089	3.70357838914899
1.36040387228409	1.36306620907085	4.24097933578791	4.08117666428303	3.73248091050676	3.56203729188527
1.3202749514402	1.31996463184316	4.09360508735903	3.92798116966883	3.60676922049574	3.4307778385288
1.27896532055411	1.27729073234502	3.94720687378917	3.77053986698218	3.48755397237629	3.31232499186094
1.23769200385953	1.23921800781419	3.79198988117543	3.62004996940675	3.35561540446728	3.18620662964949
1.20109574226256	1.19747710624153	3.64086982667005	3.45841506480909	3.22605907029172	3.04680947473969
1.16460335553829	1.16032075491245	3.48984536418432	3.3128139505419	3.09613407512133	2.92214614640297
1.12851685361847	1.12356024414495	3.33708407040227	3.17269766653694	2.96967427697822	2.79292883278991
1.09290957477086	1.08792362773444	3.19123624016351	3.02163836151451	2.84044909779214	2.66325529437214
1.05841879187391	1.05314427634869	3.04548823461021	2.87767755762331	2.70962097218473	2.53502295646326
1.02271982829974	1.01827762689939	2.88606955510314	2.73140500465675	2.57176697686602	2.40425557265081
0.988562153435374	0.982796469018915	2.7377521573952	2.58963380202012	2.4355279524603	2.27903384101059
0.954273100004923	0.94852737971226	2.58549496912047	2.43736840879911	2.30234384243198	2.15410554788395
0.921438310457366	0.915773768025635	2.44396984330208	2.29811949511607	2.18471715084707	2.03047962366724
0.886548990535383	0.882253374297675	2.29137198212805	2.15783519870494	2.04965047646635	1.90873007003534
0.853918124898283	0.849719414974023	2.14585018529036	2.02477594191584	1.91956470110939	1.79312897062874
0.822427675453339	0.816029226881668	2.01190682041467	1.88769192947697	1.80574841093938	1.67480943779848
