ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G02690	1.60764	4.41038	1.84295	3.06946	1.07159	3.49114	2.15088	2.53188	
AT1G02700	3.4517	3.5456	2.94873	5.13104	5.46001	3.57526	2.75313	3.42858	
AT1G02705	1.41851	2.20519	1.88391	3.71084	1.78598	3.61732	3.6565	3.27034	
AT1G02720	5.67404	4.62658	2.82586	4.81035	1.88804	3.78557	4.00064	2.42638	
AT1G02730	5.81589	6.22642	2.66204	4.03153	1.37776	3.40701	4.3878	2.95385	
AT1G02740	0.945673	2.42139	2.53918	2.79458	5.51104	2.22928	2.71011	2.74286	
AT1G02750	4.39738	5.96699	2.21154	4.58128	4.43945	3.91176	4.21573	4.21979	
AT1G02770	4.35009	2.72406	4.34118	4.16897	3.36786	3.36495	3.48443	2.0044	
AT1G02780	1.79678	3.80504	3.93163	2.38227	1.9901	3.44908	5.33419	3.42858	
AT1G02790	1.18209	1.12421	1.67914	1.92414	0.867478	1.09361	1.50562	2.21539	
AT1G02800	1.51308	2.63758	3.35827	2.1532	3.41888	3.32289	3.78555	2.90111	
AT1G02810	2.64788	3.41588	3.48113	3.06946	3.36786	2.3134	4.77496	2.69012	
AT1G02813	2.97887	4.75629	8.1909	5.58916	4.49047	3.15464	2.75313	3.32309	
AT1G02816	2.69517	4.45362	2.98968	4.03153	2.60243	4.37444	5.1191	1.26594	
AT1G02820	1.04024	2.7673	1.67914	1.51182	2.39832	1.93485	2.02183	2.05715	
AT1G02830	3.4517	3.37264	3.27636	4.67291	2.55141	3.8697	3.14029	1.52967	
AT1G02840	4.9175	6.52909	4.99645	5.22266	3.2658	3.74351	6.5817	3.1121	
AT1G02850	2.0332	3.50236	2.53918	5.03941	2.85757	2.14516	4.64591	4.0088	
AT1G02860	5.7686	4.49686	3.84972	3.84828	1.42879	3.36495	3.82857	2.90111	
AT1G02870	6.52514	4.75629	3.93163	3.89409	2.14318	3.23877	4.04366	2.90111	
