ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G01840	9.74043	11.2854	19.5353	9.62069	8.92992	8.79094	8.81862	7.43738
AT1G01860	22.176	27.8027	38.2515	20.1118	16.7882	16.3621	17.5942	12.7121
AT1G01870	0.661971	3.06997	2.12963	1.19113	2.75552	1.17773	1.37656	0.685716
AT1G01880	22.1287	34.8939	29.692	18.7833	25.5141	18.7175	22.4982	16.1407
AT1G01890	0.992956	1.55661	1.84295	2.56552	4.18431	1.26186	1.20449	2.79561
AT1G01900	25.1076	28.754	35.3028	25.4719	21.9421	25.7839	24.7352	21.7847
AT1G01910	25.1076	31.9969	31.8626	19.333	19.7989	23.765	20.6915	13.8726
AT1G01920	21.7505	36.2776	35.8352	25.4719	20.7684	26.9196	26.1978	21.2045
AT1G01930	27.6136	36.9694	48.5721	29.2744	20.9726	24.9848	28.9939	17.9341
AT1G01940	21.0885	29.7917	28.0948	18.0044	18.166	13.6281	18.6697	10.7605
AT1G01950	49.6005	60.8373	42.0603	40.3611	35.7707	41.5151	48.0937	36.8177
AT1G01960	67.1427	90.629	60.9403	52.8222	49.9055	67.0467	63.0209	44.7298
AT1G01970	15.9346	23.522	19.781	17.3631	12.655	17.2033	15.7875	11.7627
AT1G01980	15.4617	22.9599	19.6172	20.1576	13.2673	15.647	16.949	13.7143
AT1G01990	16.4547	19.89	24.2451	13.2857	15.4105	15.4367	13.1634	9.07255
AT1G02000	24.6348	24.9057	42.4698	21.8985	17.8088	20.9468	16.8629	16.2989
AT1G02010	35.7937	52.4922	40.3812	30.0532	26.7387	34.2805	37.8125	26.6374
AT1G02020	18.9607	33.5535	38.0467	23.7769	13.5735	27.4664	23.6167	16.2989
AT1G02030	16.8803	19.6305	19.2077	13.9271	8.06244	14.6796	15.3143	13.9781
AT1G02040	6.38329	12.1934	13.0235	10.2163	6.02132	8.49651	10.7544	5.90771
AT1G02050	15.1308	19.2846	13.2693	14.0645	12.3998	13.5019	16.8629	11.3934
AT1G02060	24.9185	26.8947	32.9684	19.8828	17.5026	19.3905	16.6478	15.6132
AT1G02065	16.4074	19.1981	18.1429	24.1434	17.2985	16.1518	17.4221	12.5539
AT1G02067	2.83702	2.46463	1.802	3.98572	4.13328	1.85072	1.80674	1.74066
AT1G02070	6.66699	6.61557	7.61754	10.033	3.11271	6.5196	7.48507	6.75167
AT1G02080	112.299	183.982	84.8987	93.8247	81.4409	107.594	111.717	79.9651
AT1G02090	20.332	38.0504	33.5827	20.9823	15.1553	22.9237	23.7888	13.5561
AT1G02100	29.174	38.4395	33.9513	20.4783	24.4935	22.5031	21.5088	20.4132
AT1G02110	31.0653	37.6612	43.1251	29.8241	22.4013	25.111	27.8324	16.6682
AT1G02120	36.7394	57.2917	51.1112	33.6266	29.035	36.72	40.1355	25.3715
AT1G02130	18.2988	27.2838	27.8491	12.8276	12.6039	18.0446	21.0356	12.0792
AT1G02136	3.4517	4.02123	4.0545	3.75665	2.70449	2.56578	5.97945	2.90111
AT1G02140	10.5915	17.9442	26.2109	12.003	11.5324	12.6186	9.76501	10.2857
AT1G02145	38.347	56.5999	40.7088	28.0833	20.8195	30.7893	29.9833	23.5253
AT1G02150	21.4195	25.4246	34.5247	17.8212	15.1043	21.9143	20.0032	15.0858
AT1G02160	12.672	12.842	18.2248	10.8576	7.65422	9.00125	6.23756	6.43518
AT1G02170	19.4336	27.4135	38.8658	12.232	11.4303	22.2928	18.7557	10.9715
AT1G02180	10.828	19.4143	16.2589	11.6823	9.89945	11.3988	12.7332	7.0154
AT1G02190	23.6418	26.2893	24.327	22.3567	18.6253	22.6714	26.5419	15.5077
AT1G02205	21.1358	31.0024	29.5692	22.8606	20.003	33.7757	28.8648	21.5737
AT1G02210	0.378269	2.20519	1.96582	2.33645	3.52094	3.02846	1.67769	1.42418
AT1G02220	12.2937	14.2689	19.0029	20.9823	19.7479	13.7963	16.0026	14.5583
AT1G02228	4.87021	3.80504	4.38213	3.9399	3.87814	6.43547	7.09791	5.43298
AT1G02230	15.0835	17.4686	15.1941	16.0345	11.3282	12.8709	11.4857	11.4462
AT1G02250	12.8611	13.4473	12.614	11.7739	8.5217	14.1328	13.7226	9.17805
AT1G02260	17.9205	31.8672	27.4805	24.1892	21.6869	22.1666	21.6809	16.2462
AT1G02270	24.0201	31.8239	32.395	24.0059	20.7684	25.9522	24.0039	19.0946
AT1G02280	16.9275	22.0519	27.3167	13.1941	17.0944	17.0771	14.4109	10.8132
AT1G02290	19.1499	30.4835	29.7739	20.1118	15.5636	16.8248	18.7557	12.9759
AT1G02300	12.7666	27.5433	17.2009	19.7911	14.6451	18.2128	19.487	14.4528
AT1G02305	23.1217	32.4293	16.9142	23.5936	16.9413	16.4041	18.2395	14.611
AT1G02310	18.677	22.9167	19.3305	21.3488	18.166	16.6986	24.6921	11.4462
AT1G02320	3.12072	2.46463	2.49823	1.92414	1.12262	3.91176	3.74254	1.89891
AT1G02330	16.502	17.6415	23.4669	13.9729	9.84843	15.2685	12.8193	10.444
AT1G02335	7.28168	6.74529	10.6891	10.2163	15.4105	5.00537	10.2382	5.48573
AT1G02340	14.7525	14.658	17.8971	14.7975	14.2879	15.0582	13.4215	10.8132
