ID	ATX1-TAG-rep2	ATX2-TAG-rep2	ATX3-TAG-rep2	ATX4-TAG-rep2	ATX5-TAG-rep2	ATXR3-TAG-rep2	ATXR7-TAG-rep2	WT-rep2	
AT1G02180	3.87726	6.35614	9.91099	7.60493	4.64356	4.20619	4.08668	3.0066	
AT1G02190	6.47786	7.13444	4.21832	5.77242	4.43945	5.17361	5.1191	4.58902	
AT1G02205	2.83702	4.92925	2.82586	4.07734	1.17365	6.05691	3.18331	3.79781	
AT1G02220	4.30281	2.63758	7.00322	5.22266	4.08225	4.45856	3.14029	2.95385	
AT1G02228	2.0332	1.85928	2.58013	2.33645	2.04112	3.99588	4.77496	2.74286	
AT1G02230	2.6006	4.97249	5.81554	5.08522	2.55141	2.81815	2.40899	2.1099	
AT1G02250	3.87726	3.63208	5.32409	3.61921	1.73496	4.37444	4.81798	3.42858	
AT1G02260	2.36418	5.57784	7.208	5.13104	2.95963	3.44908	3.09727	1.63517	
AT1G02270	1.98591	4.41038	9.70622	4.58128	2.9086	5.17361	2.58106	2.58462	
AT1G02280	5.62675	7.22092	14.2522	4.07734	5.30692	4.96331	2.53804	3.48133	
AT1G02290	3.35714	8.04246	12.8188	4.44384	4.23533	2.48165	4.3878	3.90331	
AT1G02300	3.168	5.88051	4.38213	3.9399	4.84767	2.52371	1.80674	2.42638	
AT1G02305	3.92454	7.52359	6.14318	6.87192	4.84767	3.23877	2.96822	1.52967	
AT1G02310	4.96478	4.15095	3.31732	5.08522	4.64356	4.50062	5.72135	2.0044	
AT1G02330	1.79678	5.27516	14.416	4.16897	2.44935	4.92124	3.31236	3.0066	
AT1G02335	1.79678	1.47013	2.37536	3.80246	3.87814	1.30392	3.74254	1.79341	
AT1G02340	5.62675	3.71856	4.99645	2.93202	1.73496	3.15464	3.6565	3.05935	
AT1G02350	1.13481	3.63208	10.3615	4.35222	4.49047	4.87918	2.1939	3.42858	
AT1G02360	4.35009	4.71305	5.11931	3.29852	3.623	4.24825	4.30177	3.58682	
AT1G02370	4.11368	6.57233	19.6172	7.5133	3.46991	4.62681	4.3878	4.32529	
AT1G02380	3.21529	4.28066	8.39568	4.48966	1.17365	3.49114	2.32295	3.05935	
AT1G02390	2.69517	3.71856	3.97259	4.48966	3.01066	4.33238	3.14029	5.16925	
AT1G02400	3.30985	4.15095	5.52886	3.5734	2.19421	2.27134	3.22632	3.58682	
AT1G02405	4.20824	4.88601	6.8394	2.97783	6.32749	4.4165	3.91461	1.89891	
AT1G02410	3.21529	5.18868	16.7504	3.06946	4.49047	3.70145	3.35538	2.26814	
AT1G02420	2.55332	8.64781	14.8665	5.86404	5.00076	4.83712	2.36597	2.42638	
AT1G02430	5.01206	3.97799	4.75072	4.71872	2.19421	3.49114	4.86099	3.32309	
AT1G02440	5.05935	5.36164	4.70977	4.21478	2.55141	2.3134	6.23756	2.53188	
AT1G02450	2.83702	3.93475	5.81554	5.90985	2.85757	2.73402	3.6565	3.05935	
AT1G02460	4.44466	4.3239	3.39923	5.03941	1.12262	3.32289	4.04366	4.58902	
AT1G02470	4.30281	5.05897	2.74395	4.07734	4.38842	5.08949	6.79679	2.63737	
AT1G02475	3.82997	5.23192	6.307	4.9936	3.623	4.87918	2.15088	2.95385	
AT1G02500	2.41146	5.18868	10.1567	4.76453	4.03122	5.6363	2.36597	3.1121	
AT1G02510	6.19416	5.96699	7.37181	5.90985	5.2559	2.43959	4.34478	1.74066	
AT1G02520	3.02615	6.0967	3.604	3.9399	5.97029	3.74351	2.23692	4.90551	
AT1G02530	2.45875	3.58884	4.30022	3.48177	4.64356	2.43959	4.64591	3.1121	
AT1G02540	2.74245	3.41588	2.49823	4.71872	2.44935	4.58475	4.34478	2.05715	
AT1G02550	1.22937	3.7618	5.65172	5.17685	3.06169	4.96331	4.25875	3.05935	
AT1G02560	3.92454	6.0967	11.0577	5.26847	2.9086	6.64578	3.52745	2.63737	
AT1G02570	3.92454	5.23192	4.58691	2.51971	2.85757	4.50062	5.50626	3.32309	
AT1G02575	4.06639	3.58884	3.604	3.11527	5.05178	5.21568	4.99005	4.16704	
AT1G02580	1.37123	1.85928	2.41632	2.33645	4.13328	3.15464	4.25875	3.1121	
AT1G02590	2.83702	5.36164	5.52886	3.61921	4.23533	5.51011	5.93644	4.21979	
AT1G02610	2.45875	3.93475	2.17059	3.84828	5.40898	7.9497	2.10787	1.89891	
