ID	H3_WT	H3_atx45	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3	K4me3_atx3-145	
AT4G03435	1.31228	1.34946	1.28765	2.1179	1.99425	0.862794	2.04666	1.65748	0.912261	1.5318	2.12089	2.0629	
AT4G03437	6.64341	8.64498	8.06929	8.34941	9.23051	6.17229	9.14976	5.15001	4.50764	2.42534	4.37033	4.57706	
AT4G03438	3.52675	3.92187	4.16341	3.33976	3.81756	2.65475	3.06999	2.01265	2.52213	1.46797	1.34966	2.32076	
AT4G03440	26.8607	26.8205	24.3366	25.8221	22.7344	25.8838	24.9813	23.619	16.1524	14.0415	20.1164	16.4387	
AT4G03443	6.35635	5.86172	6.82456	6.67953	4.84317	6.03956	5.23704	7.10347	3.43439	5.29746	3.34202	3.739	
AT4G03445	3.44473	3.20497	3.09036	2.89175	5.92576	9.358	6.62154	7.9914	4.61497	7.02073	3.72763	5.41511	
AT4G03450	21.7756	23.0673	22.4481	20.2015	39.543	27.3439	41.4147	22.8495	15.1865	10.6587	16.5173	12.184	
AT4G04645	4.10087	4.00621	3.04744	3.62486	3.98849	2.25654	3.19038	2.48621	1.18057	1.0212	2.50651	2.51416	
AT4G02805	4.10087	3.79536	3.77711	4.2358	2.96288	2.52201	2.40783	1.3615	2.30748	1.85092	1.79955	2.32076	
AT4G03455	3.85482	3.75319	3.82003	3.9507	4.5013	4.64581	4.51469	2.42702	1.98551	1.21267	1.79955	1.99843	
AT4G03460	29.1162	31.7123	29.0151	28.9582	41.7082	32.1225	41.0535	23.8558	17.3866	15.2541	21.5946	15.5362	
AT4G03470	23.3339	22.0131	23.3494	23.0932	28.5462	21.238	30.6397	17.1075	12.1814	11.4246	17.4813	10.5724	
AT4G03480	31.7817	31.0376	32.1484	31.0354	33.2184	32.6534	30.5193	19.8305	15.6694	13.7862	21.0161	18.3082	
AT4G03490	32.848	35.6764	34.7666	34.2122	35.6685	39.423	34.0708	34.0374	18.9965	18.8921	23.7155	21.8538	
AT4G03495	10.1702	11.6391	11.9322	10.7931	11.7945	12.2119	12.0392	8.52416	5.4199	4.46774	6.10561	5.60851	
AT4G03500	24.9333	27.2422	25.5384	25.2519	36.1243	34.91	36.1175	24.7437	34.5586	32.9336	31.5563	33.1353	
AT4G03505	6.31534	6.53645	5.27937	6.31297	10.541	8.56157	10.9556	8.10979	3.38073	3.63801	5.78426	4.51259	
AT4G03510	19.1101	17.9647	17.3833	16.9839	29.2869	28.2731	30.0377	30.3081	47.0083	50.996	40.1685	44.3523	
AT4G03520	13.1228	13.7898	13.0053	13.3183	14.6435	13.9374	14.146	16.7523	45.1837	49.9748	35.4768	40.8712	
AT4G03530	14.5171	13.2416	13.5633	12.8703	5.75482	6.70324	4.63508	5.15001	4.82962	5.10598	8.41931	6.51103	
AT4G03540	12.7127	14.4645	11.0738	12.5852	9.74331	9.75621	9.75172	6.6891	6.38583	4.72304	7.96942	6.12423	
AT4G03550	62.7843	64.3524	64.8977	59.6677	72.0777	93.3145	83.2508	107.795	93.9629	109.077	75.1311	90.8965	
AT4G03560	40.5166	40.779	39.0159	38.9367	40.4547	44.0025	37.3214	48.7179	53.7697	47.9963	50.7087	51.1212	
AT4G03565	7.9967	7.63289	6.48118	7.98285	20.0564	12.6764	23.2958	5.68277	6.54681	4.27626	6.49122	4.51259	
AT4G03566	9.71906	9.78359	9.09941	7.57556	5.86878	5.11039	7.34389	4.32128	3.75637	3.95714	3.92044	3.48114	
AT4G03570	32.5199	33.1883	28.1137	29.4469	19.2587	18.7824	16.4335	17.0483	15.5084	11.5523	19.0238	13.5378	
AT4G03580	14.189	15.4345	13.8637	14.9475	6.43856	6.50414	5.17684	5.97875	5.8492	5.80806	12.6611	5.9953	
AT4G03590	17.8388	16.9948	14.9797	15.5584	8.60374	8.09699	5.95939	7.04427	6.60048	5.10598	11.1186	6.1887	
AT4G03600	7.0945	6.15691	5.88028	5.57985	9.97123	9.68984	13.1227	7.39944	22.5919	24.764	16.9672	7.41354	
AT4G03610	15.2142	14.1272	15.924	14.6624	17.6063	11.2163	20.587	10.6552	9.44458	7.65898	11.44	6.89782	
AT4G03620	14.7631	15.4345	14.2929	13.4405	25.5263	20.4416	27.6901	10.4776	5.90286	5.74423	8.99774	7.02675	
AT4G03625	4.14188	4.47009	3.90588	3.82851	13.0481	12.2119	14.9888	3.37415	1.44888	1.5318	2.18516	2.12736	
AT4G03630	12.8767	13.2416	11.8893	11.8114	19.6006	14.2693	20.587	7.81381	6.97611	5.87188	7.32673	6.38209	
AT4G03635	10.6213	13.1994	11.2455	13.1554	12.7062	17.455	13.6043	17.8771	39.9248	45.5071	28.3429	39.0662	
AT4G03640	23.9901	22.73	20.7741	21.3826	10.655	11.0172	5.53802	10.596	10.7325	6.38248	15.0391	7.92927	
AT4G03650	82.2224	89.697	87.2599	77.5477	25.8682	30.3969	24.4997	30.0713	26.2946	27.7	33.8058	26.6243	
AT4G03660	4.83903	4.47009	4.07756	3.62486	2.62101	2.25654	1.14372	2.36782	1.77086	1.40415	2.9564	1.74057	
AT4G03670	8.07871	6.40994	6.5241	8.47159	3.7036	3.31844	1.98646	3.61093	3.16608	1.78709	4.69168	2.96542	
AT4G03680	5.86424	5.6087	5.36522	5.82422	3.07684	2.52201	1.3845	2.13104	2.84411	1.97857	4.04898	2.19183	
AT4G03690	26.6557	24.5011	25.8389	25.0482	10.3701	12.9419	8.00604	10.8328	9.82022	8.29722	15.6818	9.66984	
AT4G03695	7.50459	6.45211	6.5241	6.31297	2.33612	3.11933	2.22725	2.84139	3.70271	1.34032	3.59909	2.32076	
AT4G04665	1.72237	1.77117	1.3735	1.91425	0.968633	0.663688	0.421371	1.00632	0.804936	0.446774	1.41393	1.22485	
AT4G03700	4.92104	4.55443	5.02184	6.23151	3.01986	3.25207	1.20392	2.36782	2.46847	1.34032	3.40629	2.2563	
AT4G03710	28.7471	31.5015	29.2726	30.0579	14.1307	15.9285	9.08957	12.6087	10.9471	10.7226	18.5096	12.1195	
AT4G03645	5.6592	5.27133	6.00904	5.21329	2.9059	2.52201	1.80587	2.723	2.1465	1.34032	4.49887	2.32076	
AT4G03720	4.34692	4.34358	4.24925	3.99142	2.22216	2.25654	1.74568	1.59828	1.66353	1.72327	2.89213	1.41824	
AT4G03726	16.2805	15.814	16.0957	14.0514	5.52691	6.3714	4.51469	5.74197	4.72229	4.97833	7.64808	5.15725	
AT4G03728	7.50459	8.30762	7.94052	7.94212	2.9059	3.65028	2.64862	2.30863	2.73678	2.04239	3.7919	2.32076	
AT4G03730	18.1669	18.9346	18.07	16.9025	7.06533	8.29609	5.47782	8.82014	7.29809	6.51013	10.6045	6.83335	
AT4G03732	5.70021	5.81955	5.36522	6.31297	1.99425	2.85386	1.86607	2.95978	2.52213	2.10622	4.69168	2.96542	
AT4G03740	12.3436	13.1994	10.6875	11.8521	5.46993	5.44224	2.58842	4.85404	3.70271	3.31889	6.36268	4.77045	
AT4G03745	20.7094	18.8081	18.5422	19.9571	7.4072	9.22526	6.62154	7.34025	7.78105	6.63778	10.5402	7.22015	
AT4G03750	35.5545	36.1402	36.2259	32.9496	10.9968	12.9419	9.20996	10.8328	12.3424	9.5099	17.16	11.6038	
AT4G03760	37.3589	36.815	38.93	33.2754	11.4527	13.4065	8.24683	11.4839	11.1618	9.95667	14.3964	11.6683	
AT4G03775	25.7945	24.0373	22.7485	23.9485	8.83166	11.0172	6.92252	10.3592	8.425	7.7228	13.7537	10.5724	
AT4G03780	23.1289	24.8385	21.0316	23.3376	8.60374	8.29609	6.98271	8.87933	8.31767	8.61635	10.6045	8.18713	
AT4G03790	76.9323	77.7205	81.8947	74.1264	28.1473	30.5296	21.1287	28.2363	23.7724	24.6364	35.9267	22.6919	
AT4G03795	25.5484	24.0373	25.238	22.1157	7.52115	10.7517	5.83899	9.53048	9.60557	7.91428	11.1186	10.379	
AT4G03800	46.5859	49.8457	42.75	44.3944	16.5807	16.924	11.7382	17.9954	17.172	13.2117	25.5793	14.2469	
AT4G03810	32.889	33.2305	31.8479	35.1897	11.6806	13.9374	9.14976	12.5495	12.9326	10.4034	17.5456	12.184	
AT4G03811	3.3217	3.33148	3.73419	4.19507	5.35597	3.25207	3.85253	1.95345	6.11751	2.80829	5.39864	1.03145	
AT4G04675	5.2081	5.86172	4.936	4.72454	1.70935	1.72559	1.5049	1.47989	1.93185	1.34032	2.18516	1.28931	
AT4G03813	23.416	23.9951	23.6928	22.6452	7.69209	10.2872	6.20017	9.64888	7.88837	5.16981	11.1186	8.50946	
AT4G03816	40.5166	40.273	39.6597	36.1265	17.4924	18.8487	12.9421	17.3443	15.6694	11.297	24.8723	13.6022	
AT4G03820	17.9208	16.5309	17.7267	19.0204	32.5347	39.3567	35.3951	39.0691	35.3099	36.3163	27.5074	30.1054	
AT4G03823	3.85482	4.76528	5.02184	5.98714	14.8144	6.23866	17.517	4.08449	7.45907	2.36152	5.2701	2.70756	
AT4G03824	5.04407	6.11474	6.26657	5.57985	5.07108	3.1857	3.79234	2.6638	3.59538	2.42534	5.33437	2.2563	
AT4G04755	7.13551	7.7594	6.43826	7.24973	2.62101	2.58838	2.40783	2.78219	2.95143	1.59562	4.17752	2.57862	
AT4G04765	6.43837	7.54854	6.39534	6.72025	2.33612	2.32291	2.16705	2.48621	2.73678	1.2765	4.04898	2.38523	
AT4G03825	9.18595	9.48839	9.27109	9.08253	3.13381	4.31397	2.76901	3.61093	3.43439	1.97857	3.92044	3.739	
AT4G03826	15.3373	15.0127	14.4646	12.9518	4.44432	6.10593	3.91273	5.74197	5.31258	4.97833	6.29842	5.54404	
AT4G03830	36.4977	36.7306	33.6936	30.8724	10.484	13.2074	9.08957	12.727	10.6252	9.2546	13.9465	11.9906	
AT4G03835	30.4285	30.0677	28.6288	25.6184	10.4271	9.75621	6.98271	11.7207	8.69331	9.57372	13.3681	9.47644	
AT4G03837	9.92411	11.2174	10.6446	8.43087	2.96288	3.58391	2.22725	3.43334	2.95143	3.63801	4.69168	4.19026	
AT4G03840	78.9007	83.287	81.3367	73.8413	22.2786	30.7951	21.1889	28.1179	26.9385	22.0834	32.5847	25.2705	
AT4G03850	21.7756	22.73	22.3622	20.6088	6.38158	9.42436	5.83899	7.75462	8.69331	7.33985	10.2831	9.28305	
AT4G03860	47.6111	47.1468	48.5016	43.7835	15.0423	17.2559	11.5576	18.1138	15.0255	13.3394	19.795	14.3758	
AT4G03865	10.7033	9.65708	9.82908	10.8339	5.0141	5.24313	2.8894	4.49886	3.05876	2.93594	5.2701	4.19026	
AT4G03870	21.6116	22.3926	19.186	16.7395	9.17353	8.42883	5.7186	8.22818	7.9957	5.16981	14.075	6.38209	
AT4G03873	11.4414	11.4282	10.0008	10.9153	4.55827	5.17676	3.67194	4.73564	3.86369	2.99977	5.2701	4.31919	
AT4G03876	9.02191	10.4583	9.44278	10.5895	5.29899	5.70771	2.34764	4.61725	4.23933	3.51036	6.16988	5.02832	
AT4G03880	26.3686	28.0435	28.9292	25.4148	7.52115	9.5571	5.83899	10.8328	8.8543	8.4887	10.9258	10.6368	
AT4G03885	31.8638	35.2547	34.3803	34.538	10.3701	13.2074	12.0392	14.7989	10.4105	10.9779	16.5173	13.0221	
AT4G03890	15.8294	14.2537	17.3404	14.4587	5.46993	5.77408	4.09332	7.39944	6.49315	4.97833	6.61976	4.64152	
AT4G03900	33.094	32.5557	31.0753	32.0536	14.5865	13.141	9.20996	12.8454	12.6107	10.2758	17.5456	12.9576	
AT4G03910	31.4947	33.1461	32.3201	29.8135	10.8259	14.6011	8.90898	12.0759	10.4642	8.68017	15.2962	14.6337	
AT4G03911	6.06929	4.13272	5.06476	4.60236	3.13381	1.92469	1.98646	2.54541	1.98551	1.72327	2.9564	1.99843	
AT4G03912	11.3184	11.3017	10.9021	10.0193	4.61525	3.31844	2.8894	4.91323	4.18567	2.48917	5.52718	3.54561	
AT4G03914	5.82324	4.34358	5.3223	5.49839	1.70935	2.72112	1.68548	2.19024	1.87818	1.78709	2.57078	1.54717	
AT4G03913	9.06292	8.98235	8.75603	7.00536	3.47568	3.45118	2.34764	3.31495	2.62946	2.10622	3.7919	4.77045	
AT4G03916	6.93047	5.14482	7.03916	7.98285	3.7036	3.05296	2.10685	2.723	3.00509	1.91474	4.04898	4.57706	
AT4G03920	84.1909	88.3053	88.848	81.5391	23.5891	32.8525	25.523	31.5512	26.2409	24.6364	34.0629	30.2988	
AT4G03923	10.4162	8.60281	9.35694	8.30868	4.84317	3.91576	2.70881	4.61725	3.54172	2.74447	3.47056	4.44813	
AT4G03926	3.93684	4.42792	5.23645	4.76527	1.5954	2.05743	2.04666	2.19024	1.39522	1.72327	2.12089	2.19183	
AT4G03935	6.31534	7.0425	6.48118	5.62058	5.12806	3.65028	3.19038	4.55806	3.48806	2.55299	5.84853	4.64152	
AT4G03930	18.0028	17.29	17.4691	14.5402	9.68633	10.8845	7.58467	9.17531	7.24442	6.7016	12.9182	8.2516	
AT4G03940	15.0912	16.1092	14.3788	15.6806	44.842	39.3567	46.411	46.0541	55.3796	66.5693	43.639	71.6213	
AT4G02815	10.8673	10.7113	10.2583	11.2004	38.9732	46.0599	45.3275	50.7306	40.0858	46.3368	31.2993	36.7454	
AT4G03945	4.88004	4.34358	4.12049	4.27653	2.39309	2.92023	1.32431	2.78219	2.09283	1.5318	2.69932	2.2563	
AT4G03950	16.0344	16.6996	14.0354	14.2958	6.55252	6.57051	5.7788	6.39312	6.06385	6.25483	8.93347	5.28618	
AT4G03960	10.7033	10.88	10.8163	11.3226	15.783	19.7115	17.6976	17.7587	26.6702	33.5718	19.5379	28.9451	
AT4G03965	8.16073	9.78359	7.46838	9.81565	32.3638	19.0478	37.0806	9.76727	14.4352	13.0841	12.5326	7.60694	
AT4G03970	42.28	43.0141	41.119	37.6334	18.2901	19.977	12.5207	19.5345	15.9914	13.5947	22.6229	15.9875	
AT4G03975	5.45416	6.57862	5.5369	6.19078	2.62101	2.19017	1.80587	2.84139	3.05876	1.59562	2.89213	2.38523	
AT4G03976	4.67499	5.22916	5.02184	5.0911	1.82331	2.32291	1.86607	1.95345	2.25382	1.2765	2.44224	2.38523	
AT4G03977	7.62762	7.54854	8.54143	6.9239	4.33036	3.78302	2.40783	3.13736	3.38073	2.23387	5.52718	3.41668	
AT4G03978	10.9903	10.88	10.5158	10.3858	4.27338	3.78302	3.00979	4.55806	3.54172	2.17004	4.69168	3.80347	
AT4G03979	8.40678	8.05459	8.19805	7.69775	3.30475	2.38928	2.64862	3.07817	2.62946	2.48917	4.37033	2.90095	
AT4G03981	28.419	31.3328	30.1311	27.6549	12.0224	13.0083	9.51094	13.7926	12.5033	9.38225	16.7101	11.4104	
AT4G03980	18.1258	17.3743	15.924	16.0064	8.03396	8.22973	5.35743	7.63623	6.38583	4.72304	10.6045	7.02675	
AT4G03990	11.9335	11.3861	10.6446	10.9153	4.55827	5.90682	2.9496	4.20288	5.36624	4.08479	7.64808	4.25473	
AT4G04000	59.1756	60.8522	57.4293	55.1875	19.7145	24.4237	17.3364	25.8685	19.4795	17.5518	26.3505	21.5315	
