ID	H3_WT	H3_atx34	H3_atx3-1	H3_atx3-145	K4me2_WT	K4me2_atx45	K4me2_atx3-1	K4me2_atx3-145	K4me3_WT	K4me3_atx45	K4me3_atx3-1	K4me3_atx3-145	
AT1G02130	12.9815	12.8469	11.1967	10.8095	20.3662	29.3454	21.0514	33.3168	30.5717	43.2043	38.7815	28.8838
AT1G02136	4.9009	4.5385	4.17745	4.63688	3.66903	1.8949	3.2249	2.04424	2.91638	1.43462	1.90283	3.57109
AT1G02140	7.99313	9.04039	8.38333	9.42143	15.64	21.9194	14.6464	23.7915	42.2373	58.7644	48.5675	38.5993
AT1G02145	28.2969	30.5617	30.4073	26.7285	32.0885	44.9655	32.5625	50.2796	48.2209	59.868	50.425	46.4767
AT1G02150	16.628	17.9344	16.0278	16.0371	62.871	89.7774	55.6743	108.606	61.6966	101.251	82.3654	57.085
AT1G02160	5.86357	5.30711	4.85949	5.61151	14.2408	19.4099	13.1683	15.9625	27.0017	35.0931	30.1735	17.2253
AT1G02170	17.0073	16.1409	15.4594	15.0329	43.9973	68.4726	46.4027	87.7283	68.3339	95.0715	75.9773	55.3519
AT1G02180	9.33504	9.2966	8.78118	7.11776	21.8276	18.2832	18.4536	18.1372	19.6102	16.7189	20.2062	11.5535
AT1G02190	31.2724	29.9028	29.9811	29.1208	36.2239	15.4665	34.2198	13.5703	14.6322	6.17992	10.2843	17.3303
AT1G02205	33.1394	30.8545	31.0894	30.4793	55.9371	34.8764	50.4339	28.7498	26.7503	29.6857	22.2903	28.1486
AT1G02210	2.42128	2.23265	3.467	2.80575	1.33702	0.870631	1.20934	0.434945	1.25706	0.386245	0.815499	2.10064
AT1G02220	16.9489	18.886	15.8289	13.7925	94.7729	65.0412	83.5787	30.9681	21.722	16.3878	27.5004	17.0677
AT1G02228	9.0725	9.00379	8.58225	8.56493	2.14545	1.99733	2.68742	2.74015	3.82147	0.882846	3.21669	4.98903
AT1G02230	14.1484	16.4704	14.6637	13.0246	102.142	31.9573	88.7743	21.4863	19.5599	4.63494	18.394	10.9233
AT1G02250	14.1776	15.8115	15.0047	12.3749	32.586	15.6201	26.695	7.0896	8.34689	3.47621	6.07094	8.77018
AT1G02260	21.3247	21.8507	18.6138	19.2268	56.7767	65.8607	47.7464	44.4079	26.2474	29.796	24.329	20.8489
AT1G02270	19.5452	21.6677	18.6422	16.9231	29.3833	40.3051	29.5616	47.8439	46.4107	66.379	52.9621	44.5336
AT1G02280	13.74	15.4455	15.5731	13.9992	25.4966	32.4182	24.4107	39.9279	38.8181	60.9164	46.5287	31.6147
AT1G02290	17.6491	16.9828	15.1752	14.206	25.7454	30.3697	27.0533	32.0554	38.1141	50.5981	35.4289	28.5162
AT1G02300	14.9944	15.6285	16.4541	15.7418	36.5348	35.8495	28.1731	35.3175	31.5271	32.9964	30.3547	27.4134
AT1G02305	16.9198	18.5932	15.1752	16.3324	22.636	27.6041	20.6931	30.6201	32.935	39.8936	37.377	29.8816
AT1G02310	15.8987	16.1409	14.9479	13.379	17.3191	8.04053	18.4088	8.00298	11.4644	5.62814	9.9219	11.6061
AT1G02320	1.4586	1.53723	1.4209	1.1223	1.36811	1.28034	2.06035	1.43532	1.55876	0.993202	1.17794	1.57548
AT1G02330	12.048	10.9802	10.2873	10.337	22.9159	31.7524	20.9171	40.9718	41.0808	59.868	46.574	43.0107
AT1G02335	7.96396	7.90577	8.66751	6.97008	25.4966	9.93544	20.6931	3.08811	5.38022	3.75209	4.1228	7.1947
AT1G02340	15.9571	14.8599	15.2321	13.7334	27.5177	21.0488	26.0679	21.3993	14.8333	13.4634	12.7761	16.49
AT1G02350	7.73058	6.00253	6.08146	5.70011	44.4947	40.8684	43.2226	27.184	24.7893	29.1339	26.7302	11.0809
AT1G02360	8.7516	9.84561	7.78655	9.30329	21.3301	10.9597	18.8567	9.17733	9.70452	6.29028	8.20029	9.24283
AT1G02370	15.8404	16.9828	15.431	13.9697	59.9171	71.9039	63.3783	75.5499	47.1147	55.84	41.9076	32.1398
AT1G02380	13.0691	13.0299	12.5039	10.7209	46.0183	42.2	44.432	37.4487	23.9345	25.2715	21.3842	17.7504
AT1G02390	19.9828	20.6428	18.4717	18.6952	49.1277	17.5663	42.7747	15.6145	16.4424	9.04917	13.501	18.0655
AT1G02400	15.5487	14.7135	15.0332	12.3749	38.929	11.984	32.6073	15.1796	14.2299	8.38704	13.8182	15.3347
AT1G02405	6.97211	5.81952	7.01926	6.82241	29.2589	10.3451	26.7846	2.74015	6.38587	2.09676	4.75708	5.19909
AT1G02410	13.5066	13.1031	12.4471	11.0163	14.0232	17.2078	14.4225	19.442	38.7678	51.5361	40.7296	31.142
AT1G02420	12.4564	12.8103	12.8165	11.8432	30.9069	46.8604	29.5168	57.3692	39.3712	49.2187	41.0468	28.1486
AT1G02430	9.71428	9.91881	9.94632	9.59863	5.2237	6.19684	5.59879	6.82863	7.4418	3.31067	4.1228	6.72206
AT1G02440	10.006	7.97897	7.92864	6.64521	14.0542	7.78446	14.4225	8.39443	5.78248	2.26229	3.71505	5.98683
AT1G02450	5.36765	6.14893	3.80802	3.80992	21.3301	9.32087	20.3348	13.6138	6.78813	1.76569	5.7991	5.67174
